iter	Logloss
0	0.5736293301
1	0.4832522449
2	0.4111843865
3	0.3611463168
4	0.3204868774
5	0.2901903669
6	0.2674738273
7	0.2487787228
8	0.2351089183
9	0.2234790661
10	0.2148105806
11	0.20870081
12	0.2034676423
13	0.1993276583
14	0.1941443591
15	0.1897354065
16	0.1870942769
17	0.1836297678
18	0.1814401712
19	0.1797465012
20	0.1770917196
21	0.1752253637
22	0.1738533417
23	0.1722533481
24	0.1706174945
25	0.1696181221
26	0.1685046114
27	0.1673807735
28	0.1664032891
29	0.1657602564
30	0.1649969158
31	0.1640266823
32	0.1634694809
33	0.1627170312
34	0.1620684045
35	0.1615356226
36	0.1611247711
37	0.1606800794
38	0.1603305156
39	0.1598685433
40	0.1594057525
41	0.1589660467
42	0.1585929793
43	0.1582541139
44	0.1580032985
45	0.1577414576
46	0.1573621496
47	0.1569157814
48	0.1567102128
49	0.1564007448
50	0.1561965967
51	0.1558040338
52	0.1555613163
53	0.1553479674
54	0.1550205753
55	0.1548679313
56	0.1546687875
57	0.1543950076
58	0.1541909362
59	0.1540053491
60	0.1538688914
61	0.1536260219
62	0.153462854
63	0.1533616964
64	0.1532139756
65	0.1530591326
66	0.1529270557
67	0.1527978815
68	0.1526812638
69	0.1524925343
70	0.1523737453
71	0.1522757306
72	0.1521764764
73	0.1520177121
74	0.15190579
75	0.1517826942
76	0.1516994271
77	0.151596013
78	0.1515203244
79	0.1514083092
80	0.1513094726
81	0.1511927153
82	0.1510898486
83	0.150986436
84	0.1508940828
85	0.1508156692
86	0.1507331794
87	0.1506615315
88	0.1505779889
89	0.1505106106
90	0.1504718463
91	0.1504146562
92	0.150354861
93	0.1503087134
94	0.150231605
95	0.1501693041
96	0.1501124257
97	0.1500493106
98	0.1499843006
99	0.1499255401
100	0.1498940946
101	0.1498381746
102	0.1497992012
103	0.1497069933
104	0.1496945721
105	0.1496233174
106	0.1496167738
107	0.1496108217
108	0.149557047
109	0.1495050559
110	0.1494210457
111	0.1493723849
112	0.1493684811
113	0.1493518957
114	0.1493179177
115	0.1493129238
116	0.1493059762
117	0.1492489946
118	0.1491783573
119	0.1491175327
120	0.1491129238
121	0.1491088897
122	0.1490663413
