iter	Passed	Remaining
180	1465	6630
181	1473	6622
182	1480	6611
183	1488	6603
184	1496	6591
185	1504	6583
186	1511	6571
187	1519	6561
188	1526	6551
189	1534	6539
190	1541	6530
191	1549	6519
192	1556	6509
193	1564	6499
194	1571	6489
195	1579	6480
196	1586	6468
197	1594	6458
198	1602	6448
199	1609	6438
200	1617	6430
201	1624	6418
202	1633	6412
203	1641	6403
204	1648	6393
205	1656	6383
206	1663	6373
207	1671	6362
208	1679	6355
209	1686	6345
210	1694	6337
211	1702	6328
212	1710	6319
213	1718	6310
214	1725	6299
215	1732	6288
216	1740	6280
217	1747	6269
218	1754	6258
219	1762	6248
220	1770	6239
221	1777	6229
222	1785	6221
223	1794	6215
224	1801	6205
225	1809	6198
226	1817	6189
227	1824	6178
228	1832	6170
229	1840	6160
230	1847	6150
231	1854	6140
232	1862	6131
233	1870	6123
234	1879	6117
235	1886	6107
236	1895	6101
237	1902	6091
238	1909	6081
239	1917	6072
240	1924	6061
241	1932	6054
242	1940	6044
243	1947	6034
244	1955	6026
245	1962	6016
246	1970	6007
247	1977	5996
248	1985	5987
249	1993	5980
250	2002	5974
251	2009	5965
252	2017	5956
253	2024	5947
254	2032	5939
255	2040	5930
256	2048	5922
257	2056	5913
258	2063	5903
259	2070	5894
260	2078	5885
261	2086	5876
262	2094	5868
263	2101	5859
264	2109	5850
265	2117	5842
266	2124	5833
267	2132	5825
268	2140	5817
269	2149	5811
270	2157	5804
271	2165	5795
272	2172	5784
273	2179	5775
274	2188	5768
275	2195	5759
276	2203	5750
277	2210	5741
278	2217	5731
279	2225	5723
280	2233	5714
281	2240	5705
282	2248	5697
283	2256	5688
284	2263	5679
285	2271	5670
286	2279	5662
287	2287	5654
288	2294	5644
289	2301	5635
290	2309	5627
291	2317	5618
292	2324	5609
293	2332	5601
294	2340	5592
295	2348	5584
296	2355	5575
297	2363	5567
298	2370	5558
299	2378	5550
300	2386	5542
301	2394	5535
302	2402	5526
303	2409	5516
304	2417	5509
305	2425	5500
306	2432	5491
307	2440	5482
308	2447	5473
309	2455	5464
310	2462	5456
311	2470	5447
312	2478	5439
313	2485	5430
314	2493	5422
315	2501	5414
316	2508	5404
317	2516	5396
318	2523	5386
319	2530	5377
320	2537	5368
321	2546	5360
322	2553	5351
323	2560	5342
324	2568	5334
325	2576	5326
326	2583	5317
327	2590	5308
328	2599	5300
329	2606	5291
330	2613	5282
331	2621	5274
332	2628	5265
333	2636	5256
334	2643	5247
335	2651	5239
336	2658	5230
337	2666	5222
338	2674	5214
339	2682	5206
340	2689	5197
341	2697	5189
342	2704	5180
343	2711	5171
344	2719	5162
345	2727	5155
346	2735	5147
347	2743	5140
348	2751	5132
349	2758	5122
350	2765	5114
351	2773	5105
352	2781	5098
353	2789	5089
354	2796	5081
355	2804	5072
356	2811	5063
357	2818	5055
358	2826	5046
359	2834	5039
360	2841	5030
361	2849	5021
362	2856	5013
363	2865	5006
364	2873	4998
365	2881	4992
366	2889	4983
367	2896	4975
368	2903	4965
369	2911	4957
370	2919	4949
371	2926	4940
372	2934	4932
373	2942	4925
374	2950	4917
375	2958	4909
376	2965	4900
377	2972	4891
378	2981	4885
379	2990	4879
380	2999	4873
381	3007	4865
382	3015	4857
383	3023	4849
384	3030	4841
385	3039	4835
386	3047	4827
387	3055	4820
388	3064	4812
389	3072	4805
390	3080	4797
391	3088	4790
392	3095	4781
393	3104	4774
394	3111	4766
395	3120	4759
396	3128	4751
397	3135	4743
398	3143	4734
399	3151	4727
400	3158	4718
401	3166	4710
402	3174	4702
403	3181	4693
404	3189	4685
405	3196	4676
406	3204	4669
407	3212	4661
408	3220	4653
409	3227	4644
410	3235	4636
411	3243	4629
412	3251	4621
413	3259	4613
414	3266	4605
415	3274	4597
416	3282	4588
417	3289	4580
418	3296	4571
419	3304	4562
420	3312	4555
421	3319	4546
422	3326	4538
423	3334	4530
424	3342	4521
425	3349	4513
426	3357	4505
427	3365	4497
428	3373	4489
429	3380	4480
430	3388	4473
431	3396	4465
432	3403	4457
433	3411	4448
434	3418	4440
435	3425	4431
436	3433	4423
437	3440	4414
438	3448	4407
439	3456	4398
440	3464	4391
441	3471	4383
442	3479	4374
443	3486	4365
444	3494	4358
445	3501	4350
446	3510	4342
447	3517	4334
448	3525	4325
449	3532	4317
450	3539	4308
451	3547	4301
452	3555	4293
453	3563	4285
454	3571	4277
455	3578	4269
456	3586	4261
457	3594	4253
458	3602	4245
459	3610	4238
460	3617	4230
461	3625	4222
462	3633	4214
463	3641	4206
464	3649	4198
465	3656	4190
466	3664	4181
467	3671	4173
468	3679	4165
469	3686	4157
470	3694	4149
471	3701	4141
472	3709	4133
473	3717	4124
474	3724	4117
475	3732	4108
476	3739	4100
477	3747	4092
478	3754	4083
479	3762	4075
480	3769	4066
481	3776	4058
482	3784	4050
483	3791	4042
484	3798	4033
485	3806	4025
486	3814	4017
487	3821	4009
488	3828	4001
489	3836	3993
490	3843	3984
491	3851	3977
492	3859	3969
493	3867	3961
494	3874	3953
495	3882	3945
496	3890	3937
497	3897	3929
498	3904	3920
499	3912	3912
500	3920	3904
501	3927	3896
502	3934	3887
503	3942	3879
504	3949	3871
505	3957	3864
506	3965	3855
507	3972	3847
508	3980	3839
509	3987	3831
510	3995	3823
511	4002	3815
512	4010	3806
513	4017	3799
514	4025	3791
515	4033	3783
516	4041	3775
517	4048	3766
518	4056	3759
519	4064	3752
520	4072	3744
521	4079	3735
522	4087	3727
523	4094	3719
524	4101	3710
525	4108	3702
526	4116	3694
527	4124	3686
528	4132	3679
529	4139	3670
530	4147	3662
531	4154	3654
532	4161	3646
533	4169	3638
534	4177	3630
535	4184	3622
536	4192	3614
537	4200	3606
538	4207	3598
539	4214	3590
540	4222	3582
541	4230	3574
542	4238	3566
543	4245	3558
544	4253	3550
545	4260	3542
546	4268	3534
547	4276	3527
548	4284	3519
549	4292	3511
550	4299	3503
551	4307	3495
552	4315	3487
553	4322	3479
554	4329	3471
555	4337	3463
556	4344	3455
557	4352	3447
558	4360	3439
559	4368	3432
560	4376	3425
561	4384	3417
562	4392	3409
563	4400	3401
564	4408	3394
565	4416	3386
566	4423	3378
567	4431	3370
568	4438	3362
569	4446	3354
570	4453	3346
571	4461	3338
572	4469	3330
573	4476	3322
574	4484	3314
575	4492	3306
576	4499	3298
577	4507	3291
578	4515	3283
579	4523	3275
580	4530	3267
581	4538	3259
582	4545	3251
583	4552	3243
584	4560	3235
585	4567	3227
586	4575	3219
587	4582	3211
588	4590	3203
589	4598	3195
590	4606	3187
591	4613	3179
592	4621	3171
593	4629	3163
594	4637	3156
595	4644	3148
596	4651	3140
597	4658	3131
598	4666	3123
599	4674	3116
600	4681	3108
601	4689	3100
602	4697	3092
603	4705	3084
604	4712	3076
605	4720	3069
606	4727	3060
607	4735	3053
608	4743	3045
609	4750	3037
610	4758	3029
611	4765	3021
612	4773	3013
613	4781	3005
614	4788	2997
615	4796	2990
616	4804	2982
617	4812	2974
618	4819	2966
619	4826	2958
620	4834	2950
621	4841	2942
622	4848	2934
623	4856	2926
624	4864	2918
625	4871	2910
626	4879	2902
627	4887	2894
628	4894	2887
629	4902	2879
630	4909	2871
631	4917	2863
632	4925	2855
633	4932	2847
634	4940	2839
635	4947	2831
636	4955	2823
637	4962	2815
638	4971	2808
639	4978	2800
640	4986	2792
641	4993	2784
642	5001	2776
643	5008	2768
644	5016	2760
645	5024	2753
646	5032	2745
647	5039	2737
648	5047	2729
649	5055	2722
650	5062	2713
651	5069	2705
652	5077	2697
653	5084	2690
654	5092	2682
655	5101	2674
656	5108	2667
657	5116	2659
658	5123	2651
659	5131	2643
660	5139	2635
661	5147	2627
662	5154	2620
663	5162	2612
664	5170	2604
665	5178	2596
666	5185	2589
667	5192	2580
668	5200	2572
669	5310	2615
670	5322	2609
671	5332	2602
672	5340	2594
673	5348	2586
674	5355	2578
675	5365	2571
676	5372	2563
677	5380	2555
678	5388	2547
679	5397	2540
680	5405	2531
681	5413	2524
682	5421	2516
683	5429	2508
684	5437	2500
685	5445	2492
686	5452	2484
687	5461	2476
688	5468	2468
689	5476	2460
690	5483	2451
691	5490	2443
692	5497	2435
693	5504	2426
694	5511	2418
695	5518	2410
696	5525	2401
697	5533	2394
698	5541	2386
699	5549	2378
700	5556	2370
701	5564	2362
702	5572	2354
703	5580	2346
704	5588	2338
705	5595	2330
706	5602	2321
707	5610	2314
708	5618	2305
709	5625	2297
710	5633	2289
711	5641	2281
712	5649	2273
713	5656	2265
714	5665	2258
715	5674	2250
716	5685	2244
717	5693	2236
718	5701	2228
719	5709	2220
720	5716	2212
721	5724	2204
722	5732	2196
723	5739	2188
724	5747	2180
725	5755	2172
726	5763	2164
727	5771	2156
728	5778	2148
729	5786	2140
730	5794	2132
731	5802	2124
732	5809	2116
733	5816	2108
734	5825	2100
735	5833	2092
736	5841	2084
737	5848	2076
738	5856	2068
739	5864	2060
740	5872	2052
741	5880	2044
742	5888	2036
743	5896	2028
744	5903	2020
745	5911	2012
746	5918	2004
747	5926	1996
748	5934	1988
749	5941	1980
750	5948	1972
751	5956	1964
752	5965	1956
753	5974	1949
754	5983	1941
755	5992	1933
756	5999	1925
757	6006	1917
758	6014	1909
759	6021	1901
760	6029	1893
761	6037	1885
762	6045	1877
763	6053	1869
764	6061	1861
765	6068	1853
766	6076	1845
767	6084	1837
768	6091	1829
769	6099	1821
770	6106	1813
771	6115	1806
772	6122	1797
773	6130	1790
774	6138	1782
775	6146	1774
776	6153	1766
777	6160	1757
778	6168	1749
779	6175	1741
780	6183	1733
781	6191	1726
782	6201	1718
783	6211	1711
784	6221	1703
785	6229	1696
786	6237	1688
787	6245	1680
788	6252	1671
789	6259	1664
790	6268	1656
791	6277	1648
792	6284	1640
793	6292	1632
794	6300	1624
795	6308	1616
796	6315	1608
797	6322	1600
798	6331	1592
799	6341	1585
800	6348	1577
801	6356	1569
802	6364	1561
803	6373	1553
804	6381	1545
805	6389	1537
806	6397	1530
807	6407	1522
808	6416	1514
809	6424	1507
810	6433	1499
811	6442	1491
812	6451	1483
813	6459	1476
814	6467	1468
815	6474	1459
816	6482	1451
817	6489	1443
818	6496	1435
819	6503	1427
820	6510	1419
821	6518	1411
822	6525	1403
823	6533	1395
824	6541	1387
825	6549	1379
826	6557	1371
827	6564	1363
828	6572	1355
829	6579	1347
830	6587	1339
831	6595	1331
832	6603	1323
833	6610	1315
834	6618	1307
835	6625	1299
836	6633	1291
837	6641	1283
838	6648	1275
839	6655	1267
840	6662	1259
841	6670	1251
842	6677	1243
843	6684	1235
844	6692	1227
845	6699	1219
846	6707	1211
847	6715	1203
848	6722	1195
849	6729	1187
850	6737	1179
851	6744	1171
852	6751	1163
853	6759	1155
854	6766	1147
855	6774	1139
856	6781	1131
857	6789	1123
858	6797	1115
859	6804	1107
860	6811	1099
861	6818	1091
862	6826	1083
863	6834	1075
864	6841	1067
865	6849	1059
866	6856	1051
867	6864	1043
868	6872	1036
869	6880	1028
870	6887	1020
871	6895	1012
872	6903	1004
873	6910	996
874	6918	988
875	6925	980
876	6933	972
877	6941	964
878	6948	956
879	6956	948
880	6964	940
881	6971	932
882	6979	924
883	6986	916
884	6994	908
885	7001	900
886	7009	892
887	7016	885
888	7024	877
889	7032	869
890	7040	861
891	7047	853
892	7055	845
893	7062	837
894	7070	829
895	7077	821
896	7085	813
897	7092	805
898	7099	797
899	7106	789
900	7114	781
901	7122	773
902	7129	765
903	7137	758
904	7145	750
905	7153	742
906	7160	734
907	7168	726
908	7176	718
909	7184	710
910	7191	702
911	7202	694
912	7211	687
913	7237	681
914	7262	674
915	7281	667
916	7300	660
917	7312	653
918	7324	645
919	7337	638
920	7350	630
921	7359	622
922	7369	614
923	7376	606
924	7385	598
925	7392	590
926	7401	582
927	7409	574
928	7417	566
929	7425	558
930	7433	550
931	7442	542
932	7450	535
933	7457	526
934	7465	519
935	7473	511
936	7481	503
937	7489	495
938	7497	487
939	7504	479
940	7511	470
941	7519	462
942	7526	454
943	7534	446
944	7541	438
945	7548	430
946	7556	422
947	7564	414
948	7572	406
949	7579	398
950	7587	390
951	7595	382
952	7603	374
953	7610	366
954	7617	358
955	7625	350
956	7632	342
957	7640	334
958	7647	326
959	7655	318
960	7663	310
961	7670	303
962	7678	295
963	7686	287
964	7694	279
965	7702	271
966	7709	263
967	7717	255
968	7725	247
969	7733	239
970	7740	231
971	7748	223
972	7757	215
973	7767	207
974	7776	199
975	7787	191
976	7798	183
977	7819	175
978	7837	168
979	7851	160
980	7875	152
981	7884	144
982	7893	136
983	7900	128
984	7908	120
985	7916	112
986	7923	104
987	7931	96
988	7938	88
989	7946	80
990	7953	72
991	7961	64
992	7969	56
993	7976	48
994	7985	40
995	7996	32
996	8003	24
997	8011	16
998	8019	8
999	8027	0
